start_lat,start_lng,rides_all,rides_january,rides_jan14_16,first_ride,last_ride,community,area,shape_area,perimeter,area_num_1,area_numbe,comarea_id,comarea,shape_len
41.85,-87.74,"41","0","0",2023/04/07,2023/11/23,,,,,,,,,
41.86,-87.75,"1","0","0",2023/10/11,2023/10/11,,,,,,,,,
41.86,-87.74,"36","0","0",2023/05/22,2023/11/25,,,,,,,,,
41.87,-87.78,"1","0","0",2023/08/19,2023/08/19,,,,,,,,,
41.87,-87.61,"2169","3","0",2023/02/10,2024/01/30,,,,,,,,,
41.88,-87.78,"3","0","0",2023/04/04,2023/11/06,,,,,,,,,
41.88,-87.61,"828","7","0",2023/02/06,2024/01/30,,,,,,,,,
41.89,-87.79,"1","0","0",2023/07/27,2023/07/27,,,,,,,,,
41.89,-87.78,"14","0","0",2023/04/12,2023/12/26,,,,,,,,,
41.89,-87.6,"280","12","0",2023/02/12,2024/01/28,,,,,,,,,
41.9,-87.78,"25","0","0",2023/02/19,2023/11/16,,,,,,,,,
41.9,-87.61,"67","0","0",2023/02/01,2023/11/19,,,,,,,,,
41.91,-87.85,"1","0","0",2023/08/08,2023/08/08,,,,,,,,,
41.91,-87.81,"19","1","0",2023/02/26,2024/01/04,,,,,,,,,
41.91,-87.62,"6235","1","0",2023/02/04,2024/01/18,,,,,,,,,
41.92,-87.81,"72","3","0",2023/02/13,2024/01/02,,,,,,,,,
41.93,-87.83,"1","0","0",2023/07/29,2023/07/29,,,,,,,,,
41.93,-87.82,"1","0","0",2023/07/30,2023/07/30,,,,,,,,,
41.93,-87.81,"256","3","0",2023/02/03,2024/01/11,,,,,,,,,
41.93,-87.63,"5888","12","0",2023/02/04,2024/01/27,,,,,,,,,
41.94,-87.63,"1717","6","0",2023/02/04,2024/01/30,,,,,,,,,
41.95,-87.86,"1","0","0",2023/08/01,2023/08/01,,,,,,,,,
41.96,-87.94,"2","0","0",2023/09/29,2023/11/15,,,,,,,,,
41.96,-87.82,"1","0","0",2023/08/04,2023/08/04,,,,,,,,,
41.96,-87.81,"11","0","0",2023/04/06,2023/11/10,,,,,,,,,
41.96,-87.8,"6","0","0",2023/04/07,2023/09/11,,,,,,,,,
41.96,-87.63,"1894","3","0",2023/02/10,2024/01/27,,,,,,,,,
41.97,-87.87,"2","0","0",2023/06/23,2023/06/26,,,,,,,,,
41.97,-87.86,"4","0","0",2023/06/23,2023/10/21,,,,,,,,,
41.97,-87.84,"121","1","0",2023/05/05,2024/01/07,,,,,,,,,
41.97,-87.83,"2","0","0",2023/09/24,2023/09/25,,,,,,,,,
41.97,-87.82,"2","0","0",2023/07/27,2023/07/27,,,,,,,,,
41.97,-87.81,"63","1","0",2023/05/05,2024/01/04,,,,,,,,,
41.97,-87.64,"1772","2","0",2023/02/02,2024/01/29,,,,,,,,,
41.97,-87.63,"27","0","0",2023/02/19,2023/12/24,,,,,,,,,
41.98,-87.87,"2","0","0",2023/05/30,2023/07/01,,,,,,,,,
41.98,-87.86,"7","0","0",2023/05/24,2023/09/22,,,,,,,,,
41.98,-87.65,"4520","32","0",2023/02/01,2024/01/31,,,,,,,,,
41.99,-87.85,"1","0","0",2023/07/24,2023/07/24,,,,,,,,,
41.99,-87.84,"7","0","0",2023/06/05,2023/12/26,,,,,,,,,
41.99,-87.83,"1","0","0",2023/10/24,2023/10/24,,,,,,,,,
41.99,-87.65,"1327","1","0",2023/02/19,2024/01/31,,,,,,,,,
42,-87.75,"8","0","0",2023/05/15,2023/10/07,,,,,,,,,
42,-87.74,"3","0","0",2023/08/12,2023/08/16,,,,,,,,,
42,-87.73,"17","1","0",2023/06/03,2024/01/29,,,,,,,,,
42,-87.72,"65","1","0",2023/03/21,2024/01/10,,,,,,,,,
42,-87.71,"337","1","0",2023/02/04,2024/01/04,,,,,,,,,
42,-87.65,"105","0","0",2023/04/09,2023/12/12,,,,,,,,,
42.01,-87.84,"1","0","0",2023/11/06,2023/11/06,,,,,,,,,
42.01,-87.8,"1","0","0",2023/11/06,2023/11/06,,,,,,,,,
42.01,-87.79,"2","0","0",2023/06/19,2023/07/08,,,,,,,,,
42.01,-87.77,"52","0","0",2023/05/17,2023/12/23,,,,,,,,,
42.01,-87.76,"10","0","0",2023/05/27,2023/11/07,,,,,,,,,
42.01,-87.72,"3","0","0",2023/07/31,2023/08/04,,,,,,,,,
42.01,-87.71,"352","6","0",2023/02/07,2024/01/30,,,,,,,,,
42.02,-87.78,"1","0","0",2023/08/19,2023/08/19,,,,,,,,,
42.02,-87.72,"1","0","0",2023/08/09,2023/08/09,,,,,,,,,
42.02,-87.71,"220","2","0",2023/02/05,2024/01/26,,,,,,,,,
42.02,-87.7,"134","2","0",2023/02/08,2024/01/06,,,,,,,,,
42.02,-87.69,"285","2","0",2023/02/01,2024/01/30,,,,,,,,,
42.02,-87.68,"856","16","0",2023/02/01,2024/01/31,,,,,,,,,
42.02,-87.66,"178","3","0",2023/02/04,2024/01/29,,,,,,,,,
42.03,-87.71,"159","3","0",2023/02/10,2024/01/27,,,,,,,,,
42.03,-87.7,"210","7","0",2023/02/04,2024/01/27,,,,,,,,,
42.03,-87.69,"235","4","0",2023/02/07,2024/01/27,,,,,,,,,
42.03,-87.68,"587","15","0",2023/02/04,2024/01/27,,,,,,,,,
42.03,-87.67,"234","0","0",2023/02/13,2023/12/28,,,,,,,,,
42.04,-87.8,"1","0","0",2023/07/30,2023/07/30,,,,,,,,,
42.04,-87.71,"43","0","0",2023/02/05,2023/12/07,,,,,,,,,
42.04,-87.7,"242","7","0",2023/02/04,2024/01/27,,,,,,,,,
42.04,-87.69,"132","4","0",2023/02/12,2024/01/30,,,,,,,,,
42.04,-87.68,"1038","19","0",2023/02/02,2024/01/31,,,,,,,,,
42.04,-87.67,"127","0","0",2023/02/06,2023/12/31,,,,,,,,,
42.05,-87.73,"1","0","0",2023/07/27,2023/07/27,,,,,,,,,
42.05,-87.72,"1","0","0",2023/02/14,2023/02/14,,,,,,,,,
42.05,-87.71,"51","1","0",2023/04/24,2024/01/05,,,,,,,,,
42.05,-87.7,"127","2","0",2023/02/10,2024/01/03,,,,,,,,,
42.05,-87.69,"569","19","0",2023/02/07,2024/01/31,,,,,,,,,
42.05,-87.68,"3189","145","1",2023/02/01,2024/01/31,,,,,,,,,
42.05,-87.67,"776","53","0",2023/02/03,2024/01/27,,,,,,,,,
42.06,-87.74,"2","0","0",2023/08/01,2023/08/01,,,,,,,,,
42.06,-87.73,"35","1","0",2023/03/04,2024/01/07,,,,,,,,,
42.06,-87.72,"37","0","0",2023/04/09,2023/11/28,,,,,,,,,
42.06,-87.71,"84","1","0",2023/02/07,2024/01/05,,,,,,,,,
42.06,-87.7,"331","6","0",2023/02/08,2024/01/31,,,,,,,,,
42.06,-87.69,"291","11","0",2023/02/05,2024/01/31,,,,,,,,,
42.06,-87.68,"1533","99","0",2023/02/01,2024/01/31,,,,,,,,,
42.06,-87.67,"1026","41","0",2023/02/01,2024/01/31,,,,,,,,,
42.07,-87.73,"17","0","0",2023/06/17,2023/10/14,,,,,,,,,
42.07,-87.72,"7","0","0",2023/05/18,2023/11/21,,,,,,,,,
42.07,-87.71,"16","0","0",2023/04/09,2023/12/24,,,,,,,,,
42.07,-87.7,"33","0","0",2023/02/18,2023/12/05,,,,,,,,,
42.07,-87.69,"79","1","0",2023/02/06,2024/01/08,,,,,,,,,
42.07,-87.68,"64","0","0",2023/03/31,2023/12/03,,,,,,,,,
